GOTO,-1,-1,2
ERA,sort,-1,-1
=,17000,-1,0
VERIFY,17001,17001,17000
*,17001,17000,10000
VERIFY,17001,17001,17000
+,10000,17001,10001
+,10001,17001,10002
+,10002,17002,10003
=>,10003,-1,15000
=,17001,-1,15000
VERIFY,17001,17001,17000
*,17001,17000,10004
VERIFY,17003,17001,17000
+,10004,17003,10005
+,10005,17001,10006
+,10006,17002,10007
=>,10007,-1,15001
=,17001,-1,15001
VERIFY,17001,17001,17000
*,17001,17000,10008
VERIFY,17004,17001,17000
+,10008,17004,10009
+,10009,17001,10010
+,10010,17002,10011
=>,10011,-1,15002
=,17001,-1,15002
VERIFY,17003,17001,17000
*,17003,17000,10012
VERIFY,17001,17001,17000
+,10012,17001,10013
+,10013,17001,10014
+,10014,17002,10015
=>,10015,-1,15003
=,17001,-1,15003
VERIFY,17003,17001,17000
*,17003,17000,10016
VERIFY,17003,17001,17000
+,10016,17003,10017
+,10017,17001,10018
+,10018,17002,10019
=>,10019,-1,15004
=,17001,-1,15004
VERIFY,17003,17001,17000
*,17003,17000,10020
VERIFY,17004,17001,17000
+,10020,17004,10021
+,10021,17001,10022
+,10022,17002,10023
=>,10023,-1,15005
=,17001,-1,15005
VERIFY,17004,17001,17000
*,17004,17000,10024
VERIFY,17001,17001,17000
+,10024,17001,10025
+,10025,17001,10026
+,10026,17002,10027
=>,10027,-1,15006
=,17001,-1,15006
VERIFY,17004,17001,17000
*,17004,17000,10028
VERIFY,17003,17001,17000
+,10028,17003,10029
+,10029,17001,10030
+,10030,17002,10031
=>,10031,-1,15007
=,17001,-1,15007
VERIFY,17004,17001,17000
*,17004,17000,10032
VERIFY,17004,17001,17000
+,10032,17004,10033
+,10033,17001,10034
+,10034,17002,10035
=>,10035,-1,15008
=,17001,-1,15008
VERIFY,17001,17001,17000
*,17001,17000,10036
VERIFY,17001,17001,17000
+,10036,17001,10037
+,10037,17001,10038
+,10038,17005,10039
=>,10039,-1,15009
=,17004,-1,15009
VERIFY,17001,17001,17000
*,17001,17000,10040
VERIFY,17003,17001,17000
+,10040,17003,10041
+,10041,17001,10042
+,10042,17005,10043
=>,10043,-1,15010
=,17000,-1,15010
VERIFY,17001,17001,17000
*,17001,17000,10044
VERIFY,17004,17001,17000
+,10044,17004,10045
+,10045,17001,10046
+,10046,17005,10047
=>,10047,-1,15011
=,17002,-1,15011
VERIFY,17003,17001,17000
*,17003,17000,10048
VERIFY,17001,17001,17000
+,10048,17001,10049
+,10049,17001,10050
+,10050,17005,10051
=>,10051,-1,15012
=,17002,-1,15012
VERIFY,17003,17001,17000
*,17003,17000,10052
VERIFY,17003,17001,17000
+,10052,17003,10053
+,10053,17001,10054
+,10054,17005,10055
=>,10055,-1,15013
=,17006,-1,15013
VERIFY,17003,17001,17000
*,17003,17000,10056
VERIFY,17004,17001,17000
+,10056,17004,10057
+,10057,17001,10058
+,10058,17005,10059
=>,10059,-1,15014
=,17007,-1,15014
VERIFY,17004,17001,17000
*,17004,17000,10060
VERIFY,17001,17001,17000
+,10060,17001,10061
+,10061,17001,10062
+,10062,17005,10063
=>,10063,-1,15015
=,17008,-1,15015
VERIFY,17004,17001,17000
*,17004,17000,10064
VERIFY,17003,17001,17000
+,10064,17003,10065
+,10065,17001,10066
+,10066,17005,10067
=>,10067,-1,15016
=,17009,-1,15016
VERIFY,17004,17001,17000
*,17004,17000,10068
VERIFY,17004,17001,17000
+,10068,17004,10069
+,10069,17001,10070
+,10070,17005,10071
=>,10071,-1,15017
=,17010,-1,15017
VERIFY,17001,17001,17000
*,17001,17000,10072
VERIFY,17001,17001,17000
+,10072,17001,10073
+,10073,17001,10074
+,10074,17011,10075
=>,10075,-1,15018
=,17007,-1,15018
VERIFY,17001,17001,17000
*,17001,17000,10076
VERIFY,17003,17001,17000
+,10076,17003,10077
+,10077,17001,10078
+,10078,17011,10079
=>,10079,-1,15019
=,17008,-1,15019
VERIFY,17001,17001,17000
*,17001,17000,10080
VERIFY,17004,17001,17000
+,10080,17004,10081
+,10081,17001,10082
+,10082,17011,10083
=>,10083,-1,15020
=,17009,-1,15020
VERIFY,17003,17001,17000
*,17003,17000,10084
VERIFY,17001,17001,17000
+,10084,17001,10085
+,10085,17001,10086
+,10086,17011,10087
=>,10087,-1,15021
=,17009,-1,15021
VERIFY,17003,17001,17000
*,17003,17000,10088
VERIFY,17003,17001,17000
+,10088,17003,10089
+,10089,17001,10090
+,10090,17011,10091
=>,10091,-1,15022
=,17010,-1,15022
VERIFY,17003,17001,17000
*,17003,17000,10092
VERIFY,17004,17001,17000
+,10092,17004,10093
+,10093,17001,10094
+,10094,17011,10095
=>,10095,-1,15023
=,17012,-1,15023
VERIFY,17004,17001,17000
*,17004,17000,10096
VERIFY,17001,17001,17000
+,10096,17001,10097
+,10097,17001,10098
+,10098,17011,10099
=>,10099,-1,15024
=,17013,-1,15024
VERIFY,17004,17001,17000
*,17004,17000,10100
VERIFY,17003,17001,17000
+,10100,17003,10101
+,10101,17001,10102
+,10102,17011,10103
=>,10103,-1,15025
=,17014,-1,15025
VERIFY,17004,17001,17000
*,17004,17000,10104
VERIFY,17004,17001,17000
+,10104,17004,10105
+,10105,17001,10106
+,10106,17011,10107
=>,10107,-1,15026
=,17005,-1,15026
=,17001,-1,1
=,17001,-1,10108
-,0,17003,10109
>,10108,10109,14000
GOTOV,14000,-1,281
=,17001,-1,2
=,17001,-1,10110
-,0,17003,10111
>,10110,10111,14001
GOTOV,14001,-1,276
=,17001,-1,3
=,17001,-1,10112
-,0,17003,10113
>,10112,10113,14002
GOTOV,14002,-1,271
VERIFY,1,17001,17000
*,1,17000,10114
VERIFY,2,17001,17000
+,10114,2,10115
+,10115,17001,10116
+,10116,17002,10117
=>,10117,-1,15027
VERIFY,1,17001,17000
*,1,17000,10118
VERIFY,2,17001,17000
+,10118,2,10119
+,10119,17001,10120
+,10120,17002,10121
=>,10121,-1,15028
VERIFY,1,17001,17000
*,1,17000,10122
VERIFY,3,17001,17000
+,10122,3,10123
+,10123,17001,10124
+,10124,17005,10125
=>,10125,-1,15029
VERIFY,3,17001,17000
*,3,17000,10126
VERIFY,2,17001,17000
+,10126,2,10127
+,10127,17001,10128
+,10128,17011,10129
=>,10129,-1,15030
*,15029,15030,10130
+,15028,10130,10131
=,10131,-1,15027
+,3,17003,10132
=,10132,-1,3
+,10112,17003,10133
=,10133,-1,10112
GOTO,-1,-1,233
+,2,17003,10134
=,10134,-1,2
+,10110,17003,10135
=,10135,-1,10110
GOTO,-1,-1,228
+,1,17003,10136
=,10136,-1,1
+,10108,17003,10137
=,10137,-1,10108
GOTO,-1,-1,223
=,17001,-1,1
=,17001,-1,10138
-,0,17003,10139
>,10138,10139,14003
GOTOV,14003,-1,312
=,17001,-1,2
=,17001,-1,10140
-,0,17003,10141
>,10140,10141,14004
GOTOV,14004,-1,306
VERIFY,1,17001,17000
*,1,17000,10142
VERIFY,2,17001,17000
+,10142,2,10143
+,10143,17001,10144
+,10144,17002,10145
=>,10145,-1,15031
CSTR,15031,-1,13000
PRINT,-1,-1,13000
PRINT,-1,-1,-1
+,2,17003,10146
=,10146,-1,2
+,10140,17003,10147
=,10147,-1,10140
GOTO,-1,-1,289
PRINT,-1,-1,-1
+,1,17003,10148
=,10148,-1,1
+,10138,17003,10149
=,10149,-1,10138
GOTO,-1,-1,284
END,-1,-1,-1
